TeamID,TeamName
3376,South Carolina
3268,Maryland
3323,Notre Dame
3417,UCLA
3328,Oklahoma
3166,Creighton
3112,Arizona
3378,South Florida
3266,Marquette
3452,West Virginia
3228,Illinois
3339,Portland
3381,Southern Utah
3221,Holy Cross
3439,Virginia Tech
3397,Tennessee
3314,North Carolina
3124,Baylor
3425,USC
3104,Alabama
3345,Purdue
3405,Toledo
3241,James Madison
3436,Vermont
3151,Chattanooga
3231,Indiana
3428,Utah
3261,LSU
3437,Villanova
3276,Michigan
3301,NC State
3274,Miami (FL)
3343,Princeton
3424,UNLV
3399,Tennessee Tech
3284,Monmouth
3390,Stanford
3234,Iowa
3181,Duke
3400,Texas
3257,Louisville
3160,Colorado
3211,Gonzaga
3208,Georgia
3179,Drake
3187,East Carolina
3233,Iona
3379,Southern
3357,Sacred Heart
3280,Mississippi State
3170,Sacramento State
3313,Norfolk State
3163,UConn
3326,Ohio State
3235,Iowa State
3355,South Dakota State
3385,St. John's
3387,Saint Louis
3450,Washington State
3329,Oklahoma State
3195,Florida Gulf Coast
3156,Cleveland State
3218,Hawaii
3205,Gardner-Webb
3199,Florida State
3279,Ole Miss
3292,Middle Tennessee
3368,Southeastern Louisiana
