TeamID,TeamName
1104,Alabama
1222,Houston
1242,Kansas
1345,Purdue
1417,UCLA
1400,Texas
1112,Arizona
1266,Marquette
1124,Baylor
1211,Gonzaga
1462,Xavier
1163,Connecticut
1397,Tennessee
1231,Indiana
1438,Virginia
1181,Duke
1274,Miami
1166,Creighton
1246,Kentucky
1395,TCU
1401,Texas A&M
1281,Missouri
1321,Northwestern
1272,Memphis
1116,Arkansas
1268,Maryland
1234,Iowa
1452,West Virginia
1120,Auburn
1228,Illinois
1294,N.C
1344,Providence
1338,Pittsburgh
1305,Nevada
1331,Oral Roberts
1179,Drake
1433,VCU
1233,Iona
1202,Furman
1256,Louisiana
1364,UC Santa Barbara
1213,Grand Canyon
1436,Vermont
1159,Colgate
1343,Princeton
1421,UNC Asheville
1224,Howard
1243,Kansas State
1361,San Diego State
1388,Saint Mary’s
1235,Iowa State
1277,Michigan State
1194,Florida Atlantic
1129,Boise State
1336,Penn State
1425,Southern California
1429,Utah State
1301,N.C. State
1280,Mississippi State
1113,Arizona State
1158,College of Charleston
1245,Kent State
1244,Kennesaw State
1286,Montana State
1297,Northern Kentucky
1394,Texas A&M-Corpus Christi
1411,Texas Southern
1369,Southeast Missouri State
1192,Fairleigh Dickinson
